transaction_id,customer_name,product_name,category,price,quantity,payment_method,transaction_date,shipping_city,rating
TR00305,Ophelia Hartati,Quo Basic,Buku,50000.0,4,Kartu Kredit,2026-07-14,Blitar,1.0
TR00500,Cut Maya Wijayanti,Delectus,Elektronik,500000.0,1,E-Wallet,2026-07-10,Lubuklinggau,
TR00442,"Dr. Ridwan Utama, M.Pd",Animi Max,Elektronik,25000.0,1,COD,2026-08-26,Probolinggo,2.0
TR00154,"Viman Suwarno, S.H.",Consectetur,Fashion,250000.0,1,COD,2026-07-28,Tual,4.0
TR00132,Ir. Ilyas Setiawan,Ducimus Pro,Rumah Tangga,250000.0,4,COD,2026-09-16,Subulussalam,2.0
TR00205,Agnes Najmudin,Dicta Pro,Rumah Tangga,120000.0,1,E-Wallet,2026-08-08,Batam,2.0
TR00010,"dr. Elisa Uwais, S.I.Kom",Eos Max,Fashion,1200000.0,4,COD,2026-08-18,Tidak Diketahui,5.0
TR00326,Julia Halimah,Consequuntur Pro,Kesehatan,150000.0,4,E-Wallet,2026-08-19,Ambon,4.0
TR00248,R.M. Radika Fujiati,Consectetur Lite,Fashion,1200000.0,2,Transfer Bank,2026-09-12,Palopo,
TR00466,"Cakrabirawa Hidayat, M.TI.",Recusandae Pro,Fashion,50000.0,2,E-Wallet,2026-06-19,Palembang,2.0
TR00354,Jelita Mangunsong,Harum Basic,Kesehatan,500000.0,1,E-Wallet,2026-07-05,Bandung,
TR00290,R. Ella Wahyuni,Soluta Lite,Kesehatan,15000.0,3,COD,2026-08-22,Salatiga,
TR00085,Danang Andriani,Molestias Lite,Elektronik,150000.0,2,COD,2026-09-08,Tidak Diketahui,3.0
TR00011,"Cawisono Nasyidah, S.H.",Dolorem Max,Buku,500000.0,5,E-Wallet,2026-07-30,Subulussalam,4.0
TR00325,Mulyono Nuraini,Et,Fashion,50000.0,1,E-Wallet,2026-08-15,Bengkulu,
TR00079,Dr. Legawa Simanjuntak,Numquam Max,Rumah Tangga,25000.0,1,Transfer Bank,2026-08-13,Purwokerto,2.0
TR00031,Gabriella Namaga,Delectus Max,Fashion,120000.0,4,COD,2026-08-23,Kota Administrasi Jakarta Barat,1.0
TR00185,Rahmat Pradipta,Iure Lite,Kesehatan,75000.0,1,E-Wallet,2026-08-27,Kota Administrasi Jakarta Utara,5.0
TR00196,Ghaliyati Zulkarnain,Labore Pro,Kesehatan,500000.0,5,E-Wallet,2026-09-01,Padangpanjang,
TR00223,"Ir. Bahuraksa Nugroho, M.Kom.",Officiis Lite,Rumah Tangga,1200000.0,1,E-Wallet,2026-08-25,Tangerang Selatan,2.0
TR00210,Gasti Mulyani,Cum Max,Buku,750000.0,4,COD,2026-07-20,Kotamobagu,
TR00282,"R.M. Dasa Lailasari, S.Ked",Magni,Rumah Tangga,500000.0,1,COD,2026-08-07,Pangkalpinang,1.0
TR00209,Empluk Handayani,Ut Max,Buku,120000.0,5,E-Wallet,2026-07-27,Padangpanjang,3.0
TR00251,"Gandewa Maulana, S.E.I",Amet,Kesehatan,15000.0,5,Transfer Bank,2026-07-14,Tanjungpinang,2.0
TR00077,"Puti Victoria Anggraini, S.H.",Dolorum,Fashion,120000.0,1,COD,2026-08-30,Banjarbaru,
TR00383,T. Rahman Thamrin,Fugiat Max,Kesehatan,120000.0,2,E-Wallet,2026-08-29,Medan,
TR00343,Paris Tarihoran,Autem Pro,Fashion,500000.0,3,E-Wallet,2026-09-09,Banjarmasin,
TR00324,"Humaira Mandala, S.IP",Sint Max,Buku,750000.0,4,Kartu Kredit,2026-08-24,Kota Administrasi Jakarta Barat,
TR00245,Dr. Hari Marpaung,Eligendi Basic,Kesehatan,750000.0,3,Transfer Bank,2026-08-30,Kota Administrasi Jakarta Pusat,2.0
TR00332,"Drs. Nadia Saputra, S.Kom",Culpa,Elektronik,75000.0,3,E-Wallet,2026-07-18,Sukabumi,1.0
TR00141,"Puti Malika Lazuardi, S.E.I",Praesentium,Buku,750000.0,5,Kartu Kredit,2026-09-10,Pekanbaru,1.0
TR00073,Edi Mulyani,Ut Pro,Elektronik,120000.0,2,E-Wallet,2026-08-14,Bekasi,4.0
TR00401,Erik Zulkarnain,Molestias Lite,Rumah Tangga,25000.0,5,Transfer Bank,2026-08-28,Samarinda,5.0
TR00488,"Cut Hesti Gunawan, M.Kom.",Maiores Lite,Buku,75000.0,3,Transfer Bank,2026-07-23,Cirebon,3.0
TR00226,Garan Mayasari,Aut Lite,Olahraga,500000.0,2,Kartu Kredit,2026-07-16,Bandung,5.0
TR00178,Tirta Nasyiah,Deleniti,Rumah Tangga,120000.0,1,Kartu Kredit,2026-07-23,Surakarta,
TR00404,Violet Hutagalung,Magni Basic,Fashion,25000.0,5,Transfer Bank,2026-07-11,Tebingtinggi,4.0
TR00056,Artanto Samosir,Maiores Lite,Kesehatan,250000.0,3,E-Wallet,2026-09-07,Manado,
